,Title,Genre,Premiere,Runtime,IMDB Score,Language,Month,Year,Is_english
36,We Are One,Documentary,2020-07-14,86,4.6,French,7,2020,0
37,Finding Agnes,Drama,2020-11-30,105,4.7,Filipino,11,2020,0
38,IO,Science fiction/Drama,2019-01-18,95,4.7,English,1,2019,1
39,Sentinelle,Action,2021-03-05,80,4.7,French,3,2021,0
40,Sol Levante,Anime / Short,2020-04-02,4,4.7,English,4,2020,1
41,The Binding,Drama,2020-10-02,93,4.7,Italian,10,2020,0
42,We Can Be Heroes,Superhero,2020-12-25,100,4.7,English,12,2020,1
43,Christmas Crossfire,Thriller,2020-12-04,106,4.8,German,12,2020,0
44,Coin Heist,Heist,2017-01-06,97,4.8,English,1,2017,1
45,Mrs. Serial Killer,Thriller,2020-05-01,106,4.8,Hindi,5,2020,0
46,Nobody Sleeps in the Woods Tonight,Horror,2020-10-28,103,4.8,Polish,10,2020,0
47,Take the 10,Comedy,2017-01-20,80,4.8,English,1,2017,1
48,The Main Event,Comedy,2020-04-10,101,4.8,English,4,2020,1
49,The Ridiculous 6,Western,2015-12-11,119,4.8,English,12,2015,1
50,Earth and Blood,Action,2020-04-17,80,4.9,French,4,2020,0
51,Fearless,Animation/Superhero,2020-08-14,89,4.9,English,8,2020,1
52,Holiday Rush,Family film,2019-11-28,94,4.9,English,11,2019,1
53,The Day of the Lord,Drama,2020-10-30,93,4.9,Spanish,10,2020,0
54,Airplane Mode,Comedy,2020-01-23,96,5.0,Portuguese,1,2020,0
55,How It Ends,Action-thriller,2018-07-13,113,5.0,English,7,2018,1
56,Love Like the Falling Rain,Drama,2020-10-15,86,5.0,Indonesian,10,2020,0
57,Rebirth,Thriller,2016-07-15,100,5.0,English,7,2016,1
58,Squared Love,Romantic comedy,2021-02-11,102,5.0,Polish,2,2021,0
59,Cadaver,Horror,2020-10-22,86,5.1,Norwegian,10,2020,0
60,Clinical,Thriller,2017-01-13,104,5.1,English,1,2017,1
61,Coffee & Kareem,Action comedy,2020-04-03,88,5.1,English,4,2020,1
62,Dude,Teen comedy-drama,2018-04-20,97,5.1,English,4,2018,1
63,Geez & Ann,Romantic drama,2021-02-25,105,5.1,Indonesian,2,2021,0
64,The Larva Island Movie,Animation,2020-07-23,90,5.1,English,7,2020,1
65,#REALITYHIGH,Comedy,2017-09-08,99,5.2,English,9,2017,1
66,American Factory: A Conversation with the Obamas ,Aftershow / Interview,2019-08-21,10,5.2,English,8,2019,1
67,Desperados,Romantic comedy,2020-07-03,106,5.2,English,7,2020,1
68,Dolly Parton's Christmas on the Square,Christmas musical,2020-11-22,98,5.2,English,11,2020,1
69,Father of the Year,Comedy,2018-07-20,94,5.2,English,7,2018,1
70,Firebrand,Drama,2019-02-22,112,5.2,Marathi,2,2019,0
71,Ghost Lab,Horror,2021-05-26,117,5.2,Thai,5,2021,0
72,Girlfriend's Day,Comedy,2017-02-14,70,5.2,English,2,2017,1
73,Handsome: A Netflix Mystery Movie,Comedy,2017-05-05,81,5.2,English,5,2017,1
74,Hubie Halloween,Comedy,2020-10-07,103,5.2,English,10,2020,1
75,Ibiza,Comedy,2018-05-25,94,5.2,English,5,2018,1
76,Rim of the World,Science fiction adventure,2019-05-24,98,5.2,English,5,2019,1
77,Sandy Wexler,Comedy,2017-04-14,131,5.2,English,4,2017,1
78,See You Yesterday,Science fiction,2019-05-17,87,5.2,English,5,2019,1
79,Still Laugh-In: The Stars Celebrate,Variety show,2019-05-14,60,5.2,English,5,2019,1
80,"Strip Down, Rise Up",Documentary,2021-02-05,112,5.2,English,2,2021,1
81,Tall Girl,Comedy-drama,2019-09-13,102,5.2,English,9,2019,1
82,The Beast,Drama,2020-11-27,99,5.2,Italian,11,2020,0
83,The Week Of,Comedy,2018-04-27,116,5.2,English,4,2018,1
84,A Christmas Prince: The Royal Wedding,Romantic comedy,2018-11-30,92,5.3,English,11,2018,1
85,Back to School,Comedy,2019-08-30,83,5.3,French,8,2019,0
86,Dangerous Lies,Thriller,2020-04-30,97,5.3,English,4,2020,1
87,Gunjan Saxena: The Kargil Girl,Drama,2020-08-12,112,5.3,Hindi,8,2020,0
88,Intuition,Thriller,2020-05-28,116,5.3,Spanish,5,2020,0
89,The Most Assassinated Woman in the World,Thriller,2018-09-07,102,5.3,French,9,2018,0
90,Things Heard & Seen,Horror,2021-04-29,121,5.3,English,4,2021,1
91,"To Each, Her Own",Romantic comedy,2018-06-24,95,5.3,French,6,2018,0
92,Who Would You Take to a Deserted Island?,Drama,2019-04-12,93,5.3,Spanish,4,2019,0
93,XOXO,Drama,2016-08-26,92,5.3,English,8,2016,1
94,A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,2020-10-15,98,5.4,English,10,2020,1
95,A Christmas Prince: The Royal Baby,Romantic comedy,2019-12-05,85,5.4,English,12,2019,1
96,Despite Everything,Comedy,2019-05-03,78,5.4,Spanish,5,2019,0
97,Dolly Kitty and Those Twinkling Stars,Drama,2020-09-18,120,5.4,Hindi,9,2020,0
98,Freaks: You're One of Us,Supernatural drama,2020-09-02,92,5.4,German,9,2020,0
99,"Game Over, Man!",Action/Comedy,2018-03-23,101,5.4,English,3,2018,1
100,Guilty,Thriller,2020-03-06,119,5.4,Hindi,3,2020,0
101,In the Tall Grass,Horror,2019-10-04,101,5.4,English,10,2019,1
102,Madame Claude,Drama,2021-04-02,112,5.4,French,4,2021,0
103,Naked,Comedy,2017-08-11,96,5.4,English,8,2017,1
104,Outside the Wire,Action/Science fiction,2021-01-15,114,5.4,English,1,2021,1
105,The Princess Switch: Switched Again,Romantic comedy,2020-11-19,97,5.4,English,11,2020,1
106,Under the Riccione Sun,Romantic teenage drama,2020-07-01,101,5.4,Italian,7,2020,0
107,A Very Murray Christmas,Comedy / Musical,2015-12-04,56,5.5,English,12,2015,1
108,Been So Long,Musical,2018-10-26,100,5.5,English,10,2018,1
109,Dead Kids,Thriller,2019-12-01,94,5.5,Filipino,12,2019,0
110,Get the Grift,Comedy,2021-04-28,94,5.5,Portuguese,4,2021,0
111,Ghosts of Sugar Land,Documentary,2019-10-16,21,5.5,English,10,2019,1
112,House Arrest,Comedy,2019-11-15,104,5.5,Hindi,11,2019,0
113,Kevin Hart's Guide to Black History,Variety show,2019-02-08,63,5.5,English,2,2019,1
114,Love Wedding Repeat,Romantic comedy,2020-04-10,100,5.5,English,4,2020,1
115,Mute,Science fiction/Mystery,2018-02-23,126,5.5,English,2,2018,1
116,�l�t?r�,Crime drama,2020-10-02,106,5.5,English,10,2020,1
117,Red Dot,Thriller,2021-02-11,86,5.5,Swedish,2,2021,0
118,Ride or Die,Psychological thriller drama,2021-04-15,142,5.5,Japanese,4,2021,0
119,Step Sisters,Comedy,2018-01-19,108,5.5,English,1,2018,1
120,The Cloverfield Paradox,Science fiction,2018-02-04,102,5.5,English,2,2018,1
121,The Knight Before Christmas,Romantic comedy,2019-11-21,92,5.5,English,11,2019,1
122,The Legacy of a Whitetail Deer Hunter,Adventure/Comedy,2018-07-06,83,5.5,English,7,2018,1
123,The Package,Black comedy,2018-08-10,94,5.5,English,8,2018,1
124,Unicorn Store,Comedy,2019-04-05,92,5.5,English,4,2019,1
125,Wine Country,Comedy,2019-05-10,103,5.5,English,5,2019,1
126,Bomb Scared,Black comedy,2017-10-12,89,5.6,Spanish/Basque,10,2017,0
127,Brahman Naman,Comedy,2016-07-07,95,5.6,English,7,2016,1
128,Double Dad,Comedy-drama,2021-01-15,103,5.6,Portuguese,1,2021,0
129,Falling Inn Love,Romantic comedy,2019-08-29,97,5.6,English,8,2019,1
130,Hold the Dark,Thriller,2018-09-28,125,5.6,English,9,2018,1
131,"Love, Guaranteed",Romantic comedy,2020-09-03,91,5.6,English,9,2020,1
132,One-Way to Tomorrow,Romance,2020-06-19,90,5.6,Turkish,6,2020,0
133,Sarah Cooper: Everything's Fine,Variety show,2020-10-27,49,5.6,English,10,2020,1
134,The Last Laugh,Comedy-drama,2019-01-11,98,5.6,English,1,2019,1
135,The Last Paradiso,Romantic drama,2021-02-05,107,5.6,Italian,2,2021,0
136,The Midnight Sky,Science fiction,2020-12-23,118,5.6,English,12,2020,1
137,The Paramedic,Thriller,2020-09-16,94,5.6,Spanish,9,2020,0
138,The Sleepover,Comedy,2020-08-21,103,5.6,English,8,2020,1
